TEMP K,LIQUID RHOMX kmol/cum,LIQUID CPMX kJ/kmol-K,LIQUID MUMX cP,LIQUID HMX kJ/kmol,LIQUID TBUB K,LIQUID KMX kW/m-K,Composition
362.15,52.0646,74.3144,0.507503,-283287.0,365.705,0.000683601,0.1
363.15,52.03,74.3314,0.50076,-283212.0,365.705,0.000684184,0.1
364.15,51.9951,74.3488,0.494164,-283138.0,365.705,0.000684756,0.1
365.15,51.9601,74.4047,0.487709,-283064.0,365.705,0.000685316,0.1
366.15,51.2229,73.8013,0.600956,-284080.0,366.15,0.000691745,0.1
367.15,49.7273,72.465,0.959606,-286381.0,367.15,0.000704298,0.1
368.15,48.3743,71.1854,1.49767,-288585.0,368.15,0.000715424,0.1
369.15,47.1452,69.9597,2.28726,-290695.0,369.15,0.000725348,0.1
370.15,46.0244,68.7855,3.42182,-292717.0,370.15,0.000734252,0.1
371.15,44.9989,67.6602,5.01985,-294655.0,371.15,0.000742284,0.1
372.15,44.0575,66.5817,7.22831,-296512.0,372.15,0.000749561,0.1
373.15,43.1908,65.5476,10.2257,-298292.0,373.15,0.000756184,0.1
374.15,42.3908,64.556,14.2246,-299999.0,374.15,0.000762234,0.1
375.15,41.6505,63.6049,19.473,-301635.0,375.15,0.000767781,0.1
376.15,40.9638,62.6923,26.2549,-303205.0,376.15,0.000772882,0.1
377.15,40.3255,61.8166,34.8893,-304712.0,377.15,0.000777587,0.1
378.15,39.7309,60.976,45.7282,-306157.0,378.15,0.00078194,0.1
379.15,39.1761,60.169,59.1525,-307544.0,379.15,0.000785977,0.1
380.15,38.6574,59.3941,75.5668,-308875.0,380.15,0.00078973,0.1
381.15,38.1717,58.6497,95.3931,-310154.0,381.15,0.000793227,0.1
382.15,37.7162,57.9346,119.063,-311381.0,382.15,0.000796492,0.1
383.15,37.2883,57.2475,147.008,-312560.0,383.15,0.000799548,0.1
293.15,53.389,73.6501,2.06636,-288869.0,365.907,0.000617541,0.12
294.15,53.3779,73.6395,2.01481,-288795.0,365.907,0.00061896,0.12
295.15,53.3664,73.63,1.96502,-288722.0,365.907,0.000620366,0.12
296.15,53.3543,73.6215,1.9169,-288648.0,365.907,0.000621759,0.12
297.15,53.3417,73.614,1.87039,-288575.0,365.907,0.000623139,0.12
298.15,53.3286,73.6075,1.82543,-288501.0,365.907,0.000624506,0.12
299.15,53.315,73.6018,1.78195,-288427.0,365.907,0.000625861,0.12
300.15,53.301,73.5968,1.73989,-288354.0,365.907,0.000627202,0.12
301.15,53.2865,73.5926,1.6992,-288280.0,365.907,0.000628531,0.12
302.15,53.2716,73.5892,1.65983,-288207.0,365.907,0.000629847,0.12
303.15,53.2562,73.5864,1.62171,-288133.0,365.907,0.000631151,0.12
304.15,53.2403,73.5841,1.58481,-288059.0,365.907,0.000632441,0.12
305.15,53.2241,73.5825,1.54908,-287986.0,365.907,0.000633719,0.12
306.15,53.2074,73.5815,1.51446,-287912.0,365.907,0.000634984,0.12
307.15,53.1903,73.5809,1.48093,-287839.0,365.907,0.000636237,0.12
308.15,53.1727,73.5808,1.44844,-287765.0,365.907,0.000637477,0.12
309.15,53.1548,73.5813,1.41694,-287692.0,365.907,0.000638705,0.12
